x,y,zr,notes
646659.1985,4181342.795,1200,
647401.8875,4180653.342,1300,
646224.8972,4182548.799,800,
644602.1588,4182743.794,1100,
642943.2874,4183193.871,1500,
643893.8288,4183306.218,1400,
653670.4548,4181726.132,150,
654410.7352,4181196.966,300,
655100.1602,4181688.995,300,
655350.6877,4180192.437,300,
655283.1223,4178721.857,250,
654674.9266,4178965.945,350,
654103.948,4178923.284,350,
653434.657,4179038.559,400,
642969.2144,4179872.541,500,
640783.229,4179547.442,2600,
644689.0389,4177794.467,1700,
637536.2234,4181888.092,3000,
638070.3701,4180331.97,4500,
637845.1483,4178603.542,5350,
637926.0586,4179467.168,5750,
635146.024,4176610.591,4600,
627026.2254,4177790.938,4500,
626640.7141,4178072.453,600,
641944.6256,4176660.837,1000,
627049.3322,4184530.181,800,(LT)
635739.3468,4175310.796,5000,
636660.6296,4175326,2600,
639348.5191,4177989.96,2500,
640253.5376,4177079.091,2000,
641050.8351,4176901.006,2000,
640365.0995,4176122.813,3200,
639768.5696,4175697.476,2000,
641460.98,4177067.745,2100,
642227.6835,4176825.428,2200,
643102.6865,4177671.001,1600,
643342.2172,4176685.002,1200,
644479.9685,4178844.899,1800,
643421.5342,4179433.212,1800,
642001.7579,4180718.218,700,
639072.3112,4181179.246,1000,
645159.376,4183552.09,500,
640310.0927,4183084.75,2400,
643885.8837,4185573.898,700,
643440.9785,4178315.637,2200,
640750.6548,4187020.82,500,
656938.464,4180751.79,0,Deposit not found
617200.933,4179616.15,0,Deposit not found
616785.085,4180179.44,0,Deposit not found
616582.165,4181220.2,0,Deposit not found
616638.607,4181663.69,0,Deposit not found
616698.149,4184099.72,0,Deposit not found
619205.004,4184230.44,0,Deposit not found
